,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2015.08
0,0.7013991,0.46327522,0.23042324,0.55730414,0.3760619,0.34745982,0.20802924,-0.12918258,0.39312282,0.3111253,0.35785612,0.3077365,0.3404394,0.19779277,-0.22684407,0.6243471,-0.7634361,0.13351083
1,1.6578202,0.6166806,1.7455993,2.2017286,2.2287204,2.4665172,1.5752301,2.7078416,2.4135017,1.5656724,2.007553,2.3337767,1.8465006,1.6444724,1.7088926,2.1592243,3.2080379,2.091711
2,2.8377237,2.5066912,2.3228261,1.9095719,2.7325609,1.6513903,1.7150028,2.0145323,2.4212046,2.338572,2.1518857,1.9423316,2.0633378,2.3025525,2.295261,2.3348718,2.6700575,2.1930647
3,1.4583402,1.1387907,1.0587021,1.2548693,1.0411339,1.0407078,0.56716514,1.0546428,1.3242567,0.88876104,1.0899129,1.0964464,1.2341888,1.3018211,0.6390501,1.1611462,0.19362807,1.147164
4,0.91040504,0.7748805,1.4241058,0.8618957,1.6578258,1.2260709,0.8878392,1.5982298,1.5247182,1.1224114,1.3556478,1.3391563,1.5642138,1.7115011,1.5834776,1.3463885,1.2681085,1.5902587
5,0.9116821,0.8645265,1.5450783,1.5857426,1.2625082,1.281888,0.90910125,1.1142976,1.468032,1.4385577,1.3272171,1.3336481,1.2556436,1.8099457,1.7904296,1.1541677,1.4474491,1.9099383
6,2.3461595,1.3466256,1.8904626,2.0005665,2.1820548,1.8165255,1.6702023,2.599628,2.5737545,2.1816401,2.1214564,1.5926025,2.1139767,2.4591491,2.5320022,2.4877467,2.5804718,2.4639416
7,1.4282991,1.0807062,1.0791978,1.9974247,1.3478824,1.4841989,1.1160759,1.6231731,1.792796,1.5344206,1.4783474,1.6237913,1.34282,1.8586158,1.4869825,1.8596138,2.5252104,0.79311407
8,0.5532166,0.5128557,0.1280992,0.42239475,0.45153922,0.13306856,0.015267551,0.22064549,0.44911474,-0.14077246,0.3093382,0.31526756,-0.07036102,0.17869782,-0.14332181,0.28488845,-1.3057113,0.2731787
9,1.144009,1.0113162,1.0850422,1.3306628,1.5161837,1.0683835,0.86183643,1.2789013,1.2759504,1.0590558,1.3804419,1.1681758,1.189218,1.4873645,0.8015423,1.1831533,0.78485584,1.6611594
